# start 2026-06-30T10:58:07.122950 port=COM20 baud=115200
2026-06-30 10:58:07.148	1846	37520	74	0	74	0	534881	534880	534886	534880	534883	534886	534886	534887	534886	534886	534886	534886	534880	534891	534880	534886	534880	534886	534886	534883
2026-06-30 10:58:07.168	1847	37540	74	0	74	0	534885	534886	534877	534886	534880	534886	534883	534886	534886	534886	534887	534886	534886	534886	534880	534886	534880	534889	534886	534880
2026-06-30 10:58:07.189	1848	37561	74	0	74	0	534884	534888	534886	534886	534886	534882	534891	534880	534886	534882	534886	534891	534886	534887	534886	534891	534887	534886	534886	534886
2026-06-30 10:58:07.209	1849	37581	74	0	74	0	534886	534886	534886	534886	534886	534886	534891	534886	534886	534886	534886	534886	534880	534886	534880	534889	534886	534880	534886	534882
2026-06-30 10:58:07.229	1850	37601	74	0	74	0	534885	534891	534886	534887	534886	534886	534884	534886	534880	534886	534882	534886	534880	534886	534882	534886	534886	534891	534882	534880
2026-06-30 10:58:07.250	1851	37621	74	0	74	0	534884	534881	534880	534880	534886	534888	534886	534886	534880	534887	534880	534886	534880	534882	534886	534886	534886	534882	534886	534886
2026-06-30 10:58:07.270	1852	37642	74	0	74	0	534885	534886	534886	534886	534891	534886	534886	534886	534886	534886	534891	534879	534883	534886	534886	534883	534891	534886	534886	534882
2026-06-30 10:58:07.290	1853	37662	74	0	74	0	534884	534882	534880	534887	534880	534886	534886	534888	534886	534891	534880	534882	534891	534886	534886	534886	534886	534886	534882	534891
2026-06-30 10:58:07.311	1854	37682	74	0	74	0	534879	534880	534886	534880	534880	534886	534882	534886	534886	534888	534880	534885	534886	534882	534880	534880	534881	534880	534886	534886
2026-06-30 10:58:07.331	1855	37703	74	0	74	0	534884	534878	534880	534880	534886	534877	534886	534886	534882	534886	534880	534886	534883	534886	534886	534880	534883	534886	534881	534886
2026-06-30 10:58:07.351	1856	37723	74	0	74	0	534880	534891	534881	534887	534886	534880	534886	534880	534881	534886	534886	534882	534880	534886	534880	534878	534886	534875	534883	534880
