name,label,triggers,current,current_maxvote,proposal_A,proposal_A_maxvote,proposal_B,proposal_B_maxvote,strict4,strict4_maxvote
0.388-25.78-2109.csv,0.388,877,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.397-27.58-2301.csv,0.397,912,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.414-23.81-042.csv,0.414,1492,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.428-24.86-043.csv,0.428,876,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.430-20.07-009.csv,0.43,1373,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.435-20.07-010.csv,0.435,885,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.435-28.13-2253.csv,0.435,925,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.453-20.45-011.csv,0.453,2055,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.464-20.3-012.csv,0.464,956,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.481-29.74-2230.csv,0.481,586,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.483-28.84-2246.csv,0.483,905,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.497-20.93-013.csv,0.497,1022,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.508-20.66-014.csv,0.508,852,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.526-26.42-2117.csv,0.526,903,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.548-21.4-015.csv,0.548,1202,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.580-30.14-2223.csv,0.58,874,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.586-26.2-044.csv,0.586,1497,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.631-26.88-2123.csv,0.631,926,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.633-21.99-016.csv,0.633,1122,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.634-29.49-2235.csv,0.634,945,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.648-27.71-2133.csv,0.648,990,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.684-22.71-017.csv,0.684,965,0.000000,1,0.000000,1,0.000000,1,0.000000,1
0.782-28.17-2139.csv,0.782,966,0.000000,0,0.000000,0,0.000000,0,0.000000,0
